County Name,Region Name,Media Market,Registered Voters,Ballots Counted,Official Voter Turnout,Yes,No
Adams,Southwest,Cincinnati,17003,5573,0.33,4041,1519
Allen,West,Lima,65598,24001,0.37,15343,8652
Ashland,Northeast,Cleveland,34187,14299,0.42,9035,5253
Ashtabula,Northeast,Cleveland,60055,23131,0.39,11085,12044
Athens,Southeast,Charleston,37530,14174,0.38,4089,10077
Auglaize,West,Dayton,32073,14286,0.45,10741,3542
Belmont,Southeast,Wheeling,43793,12960,0.30,7076,5869
Brown,Southwest,Cincinnati,28659,9455,0.33,6614,2841
Butler,Southwest,Cincinnati,252467,90116,0.36,44717,44438
Carroll,Northeast,Cleveland,18026,7500,0.42,5018,2479
Champaign,West,Dayton,26189,10584,0.40,6610,3972
Clark,West,Dayton,86429,32286,0.37,16118,16162
Clermont,Southwest,Cincinnati,144682,57869,0.40,31383,26475
Clinton,Southwest,Cincinnati,27160,9992,0.37,6613,3375
Columbiana,Northeast,Youngstown,64571,24460,0.38,14838,9608
Coshocton,Central,Columbus,21929,7926,0.36,4711,3212
Crawford,Central,Columbus,27539,9919,0.36,6514,3396
Cuyahoga,Northeast,Cleveland,870810,335356,0.39,78637,256592
Darke,West,Dayton,34162,15224,0.45,11427,3795
Defiance,Northwest,Toledo,26024,10028,0.39,6088,3938
Delaware,Central,Columbus,157923,81234,0.51,34221,46864
Erie,Northeast,Cleveland,53190,21531,0.40,9259,12267
Fairfield,Central,Columbus,108312,43093,0.40,21687,21350
Fayette,Central,Columbus,16801,6436,0.38,4328,2108
Franklin,Central,Columbus,875190,334864,0.38,82977,251576
Fulton,Northwest,Toledo,28979,12236,0.42,7706,4522
Gallia,Southeast,Charleston,18493,5087,0.28,3536,1551
Geauga,Northeast,Cleveland,67467,35788,0.53,17103,18678
Greene,West,Dayton,118667,51402,0.43,25405,25952
Guernsey,Southeast,Wheeling,23818,7923,0.33,4859,3062
Hamilton,Southwest,Cincinnati,595209,234828,0.39,77987,156787
Hancock,Northwest,Toledo,50903,21480,0.42,12913,8538
Hardin,Central,Columbus,17510,6235,0.36,3931,2237
Harrison,Southeast,Wheeling,9799,3321,0.34,2079,1242
Henry,Northwest,Toledo,19882,7856,0.40,5108,2736
Highland,Southwest,Cincinnati,26895,9176,0.34,6582,2585
Hocking,Central,Columbus,18026,6665,0.37,3691,2974
Holmes,Northeast,Cleveland,17597,6000,0.34,4380,1619
Huron,Northeast,Cleveland,36094,13811,0.38,8090,5716
Jackson,Southeast,Charleston,20286,5782,0.29,3475,2304
Jefferson,Southeast,Wheeling,45808,13974,0.31,7893,6072
Knox,Central,Columbus,41826,17580,0.42,10998,6582
Lake,Northeast,Cleveland,160821,72577,0.45,29929,42574
Lawrence,Southeast,Charleston,41664,7777,0.19,4548,3144
Licking,Central,Columbus,124904,49642,0.40,25852,23685
Logan,West,Dayton,31922,9642,0.30,6226,3408
Lorain,Northeast,Cleveland,217281,85805,0.39,31832,53834
Lucas,Northwest,Toledo,295223,93760,0.32,30589,62583
Madison,Central,Columbus,25934,10285,0.40,6019,4262
Mahoning,Northeast,Youngstown,160124,58482,0.37,24356,34040
Marion,Central,Columbus,38524,13581,0.35,7539,5981
Medina,Northeast,Cleveland,130728,59794,0.46,27328,32428
Meigs,Southeast,Charleston,14620,4714,0.32,3032,1679
Mercer,West,Dayton,29231,13741,0.47,10766,2966
Miami,West,Dayton,75593,31766,0.42,19601,12154
Monroe,Southeast,Wheeling,9163,3210,0.35,2011,1198
Montgomery,West,Dayton,362257,136475,0.38,53211,83188
Morgan,Central,Columbus,9013,3467,0.38,2187,1279
Morrow,Central,Columbus,24928,10479,0.42,6872,3599
Muskingum,Central,Zanesville,53467,18350,0.34,10519,7826
Noble,Southeast,Wheeling,7901,2876,0.36,1934,941
Ottawa,Northwest,Toledo,30247,13408,0.44,6522,6884
Paulding,West,Ft. Wayne,12460,4657,0.37,3350,1306
Perry,Central,Columbus,22332,7762,0.35,4894,2857
Pickaway,Central,Columbus,36309,14432,0.40,8668,5704
Pike,Central,Columbus,17417,4710,0.27,2930,1779
Portage,Northeast,Cleveland,107095,46293,0.43,19409,26872
Preble,West,Dayton,28271,10956,0.39,7409,3544
Putnam,Northwest,Toledo,23456,11540,0.49,9435,2103
Richland,Northeast,Cleveland,81651,30925,0.38,18695,12059
Ross,Central,Columbus,45473,15494,0.34,8366,7074
Sandusky,Northwest,Toledo,39532,16494,0.42,9301,7186
Scioto,Southeast,Charleston,44250,13432,0.30,8225,5181
Seneca,Northwest,Toledo,34035,13858,0.41,8348,5499
Shelby,West,Dayton,32418,14637,0.45,11449,3181
Stark,Northeast,Cleveland,245322,97895,0.40,46141,50968
Summit,Northeast,Cleveland,367984,153402,0.42,51825,101551
Trumbull,Northeast,Youngstown,134300,50282,0.37,21511,28744
Tuscarawas,Northeast,Cleveland,57949,21300,0.37,12033,9256
Union,Central,Columbus,44413,19784,0.45,10049,9732
Van Wert,West,Ft. Wayne,19940,7377,0.37,5199,2176
Vinton,Southeast,Charleston,8335,2567,0.31,1591,970
Warren,Southwest,Cincinnati,171053,72684,0.42,38275,34327
Washington,Southeast,Parkersburg,41912,14737,0.35,8566,6167
Wayne,Northeast,Cleveland,72415,30376,0.42,17752,12597
Williams,Northwest,Toledo,24467,9652,0.39,6124,3525
Wood,Northwest,Toledo,91533,36772,0.40,15975,20741
Wyandot,Northwest,Toledo,14875,5923,0.40,3753,2169
