County Name,Region Name,Media Market,Registered Voters,Ballots Counted,Official Voter Turnout,Joseph R. Biden and Kamala D. Harris (D),Donald J. Trump and Michael R. Pence (R)
Adams,Southwest,Cincinnati,17246.00,12280.00,0.712,2156,9870
Allen,West,Lima,67374.00,48353.00,0.7177,14149,33116
Ashland,Northeast,Cleveland,34837.00,26771.00,0.7685,6541,19407
Ashtabula,Northeast,Cleveland,61453.00,44649.00,0.7266,16497,26890
Athens,Southeast,Charleston,39344.00,26350.00,0.6697,14772,10862
Auglaize,West,Dayton,32489.00,25940.00,0.7984,4651,20798
Belmont,Southeast,Wheeling,46315.00,33364.00,0.7204,9138,23560
Brown,Southwest,Cincinnati,29069.00,21268.00,0.7316,4380,16480
Butler,Southwest,Cincinnati,256908.00,187828.00,0.7311,69613,114392
Carroll,Northeast,Cleveland,18416.00,14303.00,0.7767,3251,10745
Champaign,West,Dayton,26492.00,20096.00,0.7586,5062,14589
Clark,West,Dayton,89826.00,64710.00,0.7204,24076,39032
Clermont,Southwest,Cincinnati,145129.00,111333.00,0.7671,34092,74570
Clinton,Southwest,Cincinnati,27616.00,20657.00,0.748,4697,15488
Columbiana,Northeast,Youngstown,66293.00,50411.00,0.7604,13359,35726
Coshocton,Central,Columbus,22730.00,16900.00,0.7435,4125,12325
Crawford,Central,Columbus,28211.00,20860.00,0.7394,4916,15436
Cuyahoga,Northeast,Cleveland,888556.00,631199.00,0.7104,416176,202699
Darke,West,Dayton,34669.00,27371.00,0.7895,4731,22004
Defiance,Northwest,Toledo,26411.00,19613.00,0.7426,5981,13038
Delaware,Central,Columbus,151756.00,127111.00,0.8376,57735,66356
Erie,Northeast,Cleveland,54129.00,40783.00,0.7534,17493,22160
Fairfield,Central,Columbus,109176.00,84061.00,0.77,31224,50797
Fayette,Central,Columbus,17180.00,12704.00,0.7395,2975,9473
Franklin,Central,Columbus,882635.00,636056.00,0.7206,409144,211237
Fulton,Northwest,Toledo,29496.00,22982.00,0.7792,6664,15731
Gallia,Southeast,Charleston,18982.00,13922.00,0.7334,2990,10645
Geauga,Northeast,Cleveland,67969.00,56600.00,0.8327,21201,34143
Greene,West,Dayton,118938.00,89627.00,0.7536,34798,52072
Guernsey,Southeast,Wheeling,24549.00,18383.00,0.7488,4577,13407
Hamilton,Southwest,Cincinnati,600386.00,434956.00,0.7245,246266,177886
Hancock,Northwest,Toledo,51714.00,39066.00,0.7554,11757,26310
Hardin,Central,Columbus,18211.00,13388.00,0.7352,3062,9949
Harrison,Southeast,Wheeling,10205.00,7726.00,0.7571,1768,5792
Henry,Northwest,Toledo,19710.00,14907.00,0.7563,4062,10479
Highland,Southwest,Cincinnati,27351.00,19792.00,0.7236,3799,15678
Hocking,Central,Columbus,18645.00,13915.00,0.7463,3880,9737
Holmes,Northeast,Cleveland,18286.00,13246.00,0.7244,1994,10796
Huron,Northeast,Cleveland,36886.00,27397.00,0.7427,7759,18956
Jackson,Southeast,Charleston,21013.00,14932.00,0.7106,3311,11309
Jefferson,Southeast,Wheeling,48167.00,33694.00,0.6995,10018,22828
Knox,Central,Columbus,42320.00,31595.00,0.7466,8589,22340
Lake,Northeast,Cleveland,163936.00,131603.00,0.8028,55514,73278
Lawrence,Southeast,Charleston,44119.00,28473.00,0.6454,7489,20306
Licking,Central,Columbus,124208.00,94899.00,0.764,33055,59514
Logan,West,Dayton,32218.00,23706.00,0.7358,5055,17964
Lorain,Northeast,Cleveland,218501.00,158732.00,0.7265,75667,79520
Lucas,Northwest,Toledo,299794.00,202321.00,0.6749,115411,81763
Madison,Central,Columbus,25827.00,19984.00,0.7738,5698,13835
Mahoning,Northeast,Youngstown,165259.00,119968.00,0.7259,57641,59903
Marion,Central,Columbus,40262.00,28151.00,0.6992,8269,19023
Medina,Northeast,Cleveland,130169.00,106755.00,0.8201,39800,64598
Meigs,Southeast,Charleston,15414.00,11091.00,0.7195,2492,8316
Mercer,West,Dayton,29398.00,23907.00,0.8132,4030,19452
Miami,West,Dayton,75470.00,58361.00,0.7733,15663,41371
Monroe,Southeast,Wheeling,9572.00,7249.00,0.7573,1605,5463
Montgomery,West,Dayton,372139.00,270531.00,0.727,135064,129034
Morgan,Central,Columbus,9262.00,6908.00,0.7458,1725,5041
Morrow,Central,Columbus,25186.00,18570.00,0.7373,4048,14077
Muskingum,Central,Zanesville,55078.00,40766.00,0.7402,11971,27867
Noble,Southeast,Wheeling,8138.00,6461.00,0.7939,1170,5135
Ottawa,Northwest,Toledo,30442.00,24243.00,0.7964,9008,14628
Paulding,West,Ft. Wayne,12811.00,9576.00,0.7475,2213,7086
Perry,Central,Columbus,22541.00,16840.00,0.7471,4098,12357
Pickaway,Central,Columbus,36306.00,28480.00,0.7844,7304,20593
Pike,Central,Columbus,18124.00,12536.00,0.6917,3110,9157
Portage,Northeast,Cleveland,108884.00,83475.00,0.7666,35661,45990
Preble,West,Dayton,28654.00,21982.00,0.7672,4493,17022
Putnam,Northwest,Toledo,23859.00,20072.00,0.8413,3195,16412
Richland,Northeast,Cleveland,82754.00,60336.00,0.7291,17640,41472
Ross,Central,Columbus,46037.00,33558.00,0.7289,10557,22278
Sandusky,Northwest,Toledo,40470.00,30453.00,0.7525,10596,18896
Scioto,Southeast,Charleston,46120.00,32351.00,0.7015,9080,22609
Seneca,Northwest,Toledo,34413.00,26068.00,0.7575,8266,17086
Shelby,West,Dayton,32843.00,25449.00,0.7749,4465,20422
Stark,Northeast,Cleveland,252972.00,191252.00,0.756,75904,111097
Summit,Northeast,Cleveland,379673.00,283705.00,0.7472,151668,124833
Trumbull,Northeast,Youngstown,136895.00,101813.00,0.7437,44519,55194
Tuscarawas,Northeast,Cleveland,59638.00,44580.00,0.7475,12889,30458
Union,Central,Columbus,41432.00,33705.00,0.8135,11141,21669
Van Wert,West,Ft. Wayne,20291.00,15077.00,0.743,3067,11650
Vinton,Southeast,Charleston,8627.00,6105.00,0.7077,1331,4632
Warren,Southwest,Cincinnati,167606.00,137187.00,0.8185,46069,87988
Washington,Southeast,Parkersburg,42774.00,32343.00,0.7561,9243,22307
Wayne,Northeast,Cleveland,74470.00,54848.00,0.7365,16660,36759
Williams,Northwest,Toledo,25515.00,18963.00,0.7432,4842,13452
Wood,Northwest,Toledo,93149.00,68103.00,0.7311,30617,35757
Wyandot,Northwest,Toledo,15491.00,11486.00,0.7415,2733,8462
